image,class,name of stamp,price,day,month,year
dataset/train/1.jpg,1,PERSONALITY SERIES:HISTORICAL: SAMRAT PRITHVIRAJ CHAUHAN,3,31,12,2000.0
dataset/train/10.jpg,10,"GEMS AND JEWELLERY, INDEPEX ASIANA-2000: NAVRATNA",3,7,12,2000.0
dataset/train/100.jpg,100,Terracotta Temples of India,12,8,8,2020.0
dataset/train/1000.jpg,1000,Krishna Nath Sarmah,4,6,7,2001.0
dataset/train/1000_augmented_1.jpg,1000,Krishna Nath Sarmah,4,6,7,2001.0
dataset/train/1000_augmented_2.jpg,1000,Krishna Nath Sarmah,4,6,7,2001.0
dataset/train/1001.jpg,1001,U Kiang Nongbah,4,6,7,2001.0
dataset/train/1001_augmented_1.jpg,1001,U Kiang Nongbah,4,6,7,2001.0
dataset/train/1001_augmented_2.jpg,1001,U Kiang Nongbah,4,6,7,2001.0
dataset/train/1002.jpg,1002,Sant Ravidas,3,24,6,2001.0
dataset/train/1002_augmented_1.jpg,1002,Sant Ravidas,3,24,6,2001.0
dataset/train/1002_augmented_2.jpg,1002,Sant Ravidas,3,24,6,2001.0
dataset/train/1003.jpg,1003,Samanta Chandra Sekhar,3,11,6,2001.0
dataset/train/1003_augmented_1.jpg,1003,Samanta Chandra Sekhar,3,11,6,2001.0
dataset/train/1003_augmented_2.jpg,1003,Samanta Chandra Sekhar,3,11,6,2001.0
dataset/train/1004.jpg,1004,Suraj Narain Singh,3,31,5,2001.0
dataset/train/1004_augmented_1.jpg,1004,Suraj Narain Singh,3,31,5,2001.0
dataset/train/1004_augmented_2.jpg,1004,Suraj Narain Singh,3,31,5,2001.0
dataset/train/1005.jpg,1005,Yuri Gagarin,15,12,4,2001.0
dataset/train/1005_augmented_1.jpg,1005,Yuri Gagarin,15,12,4,2001.0
dataset/train/1005_augmented_2.jpg,1005,Yuri Gagarin,15,12,4,2001.0
dataset/train/1006.jpg,1006,Bhagwan Mahavira 2600th Janm Kalyanak,3,6,4,2001.0
dataset/train/1006_augmented_1.jpg,1006,Bhagwan Mahavira 2600th Janm Kalyanak,3,6,4,2001.0
dataset/train/1006_augmented_2.jpg,1006,Bhagwan Mahavira 2600th Janm Kalyanak,3,6,4,2001.0
dataset/train/1007.jpg,1007,4 Maratha LI Bicentenary,3,6,3,2001.0
dataset/train/1007_augmented_1.jpg,1007,4 Maratha LI Bicentenary,3,6,3,2001.0
dataset/train/1007_augmented_2.jpg,1007,4 Maratha LI Bicentenary,3,6,3,2001.0
dataset/train/1008.jpg,1008,International Fleet Review - 2001 - Tarangini,3,18,2,2001.0
dataset/train/1008_augmented_1.jpg,1008,International Fleet Review - 2001 - Tarangini,3,18,2,2001.0
dataset/train/1008_augmented_2.jpg,1008,International Fleet Review - 2001 - Tarangini,3,18,2,2001.0
dataset/train/1009.jpg,1009,International Fleet Review - 2001 - Pal,3,18,2,2001.0
dataset/train/1009_augmented_1.jpg,1009,International Fleet Review - 2001 - Pal,3,18,2,2001.0
dataset/train/1009_augmented_2.jpg,1009,International Fleet Review - 2001 - Pal,3,18,2,2001.0
dataset/train/100_augmented_1.jpg,100,Terracotta Temples of India,12,8,8,2020.0
dataset/train/100_augmented_2.jpg,100,Terracotta Temples of India,12,8,8,2020.0
dataset/train/101.jpg,101,Terracotta Temples of India,5,8,8,2020.0
dataset/train/1010.jpg,1010,International Fleet Review - 2001 - Galbat,3,18,2,2001.0
dataset/train/1010_augmented_1.jpg,1010,International Fleet Review - 2001 - Galbat,3,18,2,2001.0
dataset/train/1010_augmented_2.jpg,1010,International Fleet Review - 2001 - Galbat,3,18,2,2001.0
dataset/train/1011.jpg,1011,International Fleet Review - 2001,15,18,2,2001.0
dataset/train/1011_augmented_1.jpg,1011,International Fleet Review - 2001,15,18,2,2001.0
dataset/train/1011_augmented_2.jpg,1011,International Fleet Review - 2001,15,18,2,2001.0
dataset/train/1012.jpg,1012,Census of India - People Oriented,3,10,2,2001.0
dataset/train/1012_augmented_1.jpg,1012,Census of India - People Oriented,3,10,2,2001.0
dataset/train/1012_augmented_2.jpg,1012,Census of India - People Oriented,3,10,2,2001.0
dataset/train/1013.jpg,1013,Jubba Sahni,3,29,1,2001.0
dataset/train/1013_augmented_1.jpg,1013,Jubba Sahni,3,29,1,2001.0
dataset/train/1013_augmented_2.jpg,1013,Jubba Sahni,3,29,1,2001.0
dataset/train/1014.jpg,1014,"Yogendra Shukla, Baikunth Shukla",3,29,1,2001.0
dataset/train/1014_augmented_1.jpg,1014,"Yogendra Shukla, Baikunth Shukla",3,29,1,2001.0
dataset/train/1014_augmented_2.jpg,1014,"Yogendra Shukla, Baikunth Shukla",3,29,1,2001.0
dataset/train/1015.jpg,1015,Sheel Bhadra Yajee,3,28,1,2001.0
dataset/train/1015_augmented_1.jpg,1015,Sheel Bhadra Yajee,3,28,1,2001.0
dataset/train/1015_augmented_2.jpg,1015,Sheel Bhadra Yajee,3,28,1,2001.0
dataset/train/1016.jpg,1016,E M S Namboodiripad,3,27,1,2001.0
dataset/train/1016_augmented_1.jpg,1016,E M S Namboodiripad,3,27,1,2001.0
dataset/train/1016_augmented_2.jpg,1016,E M S Namboodiripad,3,27,1,2001.0
dataset/train/1017.jpg,1017,N G Ranga,3,27,1,2001.0
dataset/train/1017_augmented_1.jpg,1017,N G Ranga,3,27,1,2001.0
dataset/train/1017_augmented_2.jpg,1017,N G Ranga,3,27,1,2001.0
dataset/train/1018.jpg,1018,Giani Gurmukh Singh Musafir,3,27,1,2001.0
dataset/train/1018_augmented_1.jpg,1018,Giani Gurmukh Singh Musafir,3,27,1,2001.0
dataset/train/1018_augmented_2.jpg,1018,Giani Gurmukh Singh Musafir,3,27,1,2001.0
dataset/train/1019.jpg,1019,Sane Guruji,3,25,1,2001.0
dataset/train/1019_augmented_1.jpg,1019,Sane Guruji,3,25,1,2001.0
dataset/train/1019_augmented_2.jpg,1019,Sane Guruji,3,25,1,2001.0
dataset/train/101_augmented_1.jpg,101,Terracotta Temples of India,5,8,8,2020.0
dataset/train/101_augmented_2.jpg,101,Terracotta Temples of India,5,8,8,2020.0
dataset/train/102.jpg,102,Terracotta Temples of India,5,8,8,2020.0
dataset/train/1020.jpg,1020,St. Aloysius College Chapel Paintings,15,12,1,2001.0
dataset/train/1020_augmented_1.jpg,1020,St. Aloysius College Chapel Paintings,15,12,1,2001.0
dataset/train/1020_augmented_2.jpg,1020,St. Aloysius College Chapel Paintings,15,12,1,2001.0
dataset/train/102_augmented_1.jpg,102,Terracotta Temples of India,5,8,8,2020.0
dataset/train/102_augmented_2.jpg,102,Terracotta Temples of India,5,8,8,2020.0
dataset/train/103.jpg,103,Musical Instruments of Wandering Minstrels,5,25,6,2020.0
dataset/train/103_augmented_1.jpg,103,Musical Instruments of Wandering Minstrels,5,25,6,2020.0
dataset/train/103_augmented_2.jpg,103,Musical Instruments of Wandering Minstrels,5,25,6,2020.0
dataset/train/104.jpg,104,Musical Instruments of Wandering Minstrels,5,25,6,2020.0
dataset/train/104_augmented_1.jpg,104,Musical Instruments of Wandering Minstrels,5,25,6,2020.0
dataset/train/104_augmented_2.jpg,104,Musical Instruments of Wandering Minstrels,5,25,6,2020.0
dataset/train/105.jpg,105,Musical Instruments of Wandering Minstrels,5,25,6,2020.0
dataset/train/105_augmented_1.jpg,105,Musical Instruments of Wandering Minstrels,5,25,6,2020.0
dataset/train/105_augmented_2.jpg,105,Musical Instruments of Wandering Minstrels,5,25,6,2020.0
dataset/train/106.jpg,106,Musical Instruments of Wandering Minstrels,5,25,6,2020.0
dataset/train/106_augmented_1.jpg,106,Musical Instruments of Wandering Minstrels,5,25,6,2020.0
dataset/train/106_augmented_2.jpg,106,Musical Instruments of Wandering Minstrels,5,25,6,2020.0
dataset/train/107.jpg,107,Musical Instruments of Wandering Minstrels,5,25,6,2020.0
dataset/train/107_augmented_1.jpg,107,Musical Instruments of Wandering Minstrels,5,25,6,2020.0
dataset/train/107_augmented_2.jpg,107,Musical Instruments of Wandering Minstrels,5,25,6,2020.0
dataset/train/108.jpg,108,Musical Instruments of Wandering Minstrels,5,25,6,2020.0
dataset/train/108_augmented_1.jpg,108,Musical Instruments of Wandering Minstrels,5,25,6,2020.0
dataset/train/108_augmented_2.jpg,108,Musical Instruments of Wandering Minstrels,5,25,6,2020.0
dataset/train/109.jpg,109,UNESCO World Heritage Sites in India - II,12,16,3,2020.0
dataset/train/109_augmented_1.jpg,109,UNESCO World Heritage Sites in India - II,12,16,3,2020.0
dataset/train/109_augmented_2.jpg,109,UNESCO World Heritage Sites in India - II,12,16,3,2020.0
dataset/train/10_augmented_1.jpg,10,"GEMS AND JEWELLERY, INDEPEX ASIANA-2000: NAVRATNA",3,7,12,2000.0
dataset/train/10_augmented_2.jpg,10,"GEMS AND JEWELLERY, INDEPEX ASIANA-2000: NAVRATNA",3,7,12,2000.0
dataset/train/11.jpg,11,"GEMS AND JEWELLERY, INDEPEX ASIANA-2000: BRIDAL",3,7,12,2000.0
dataset/train/110.jpg,110,UNESCO World Heritage Sites in India - II,12,16,3,2020.0
dataset/train/110_augmented_1.jpg,110,UNESCO World Heritage Sites in India - II,12,16,3,2020.0
dataset/train/110_augmented_2.jpg,110,UNESCO World Heritage Sites in India - II,12,16,3,2020.0
dataset/train/111.jpg,111,UNESCO World Heritage Sites in India - II,12,16,3,2020.0
dataset/train/111_augmented_1.jpg,111,UNESCO World Heritage Sites in India - II,12,16,3,2020.0
dataset/train/111_augmented_2.jpg,111,UNESCO World Heritage Sites in India - II,12,16,3,2020.0
dataset/train/112.jpg,112,UNESCO World Heritage Sites in India - II,5,16,3,2020.0
dataset/train/112_augmented_1.jpg,112,UNESCO World Heritage Sites in India - II,5,16,3,2020.0
dataset/train/112_augmented_2.jpg,112,UNESCO World Heritage Sites in India - II,5,16,3,2020.0
dataset/train/113.jpg,113,UNESCO World Heritage Sites in India - II,5,16,3,2020.0
dataset/train/113_augmented_1.jpg,113,UNESCO World Heritage Sites in India - II,5,16,3,2020.0
dataset/train/113_augmented_2.jpg,113,UNESCO World Heritage Sites in India - II,5,16,3,2020.0
dataset/train/114.jpg,114,INDUSTRIAL CITY : JAMSHEDPUR,5,17,2,2020.0
dataset/train/114_augmented_1.jpg,114,INDUSTRIAL CITY : JAMSHEDPUR,5,17,2,2020.0
dataset/train/114_augmented_2.jpg,114,INDUSTRIAL CITY : JAMSHEDPUR,5,17,2,2020.0
dataset/train/115.jpg,115,4th Battalion (Outrams) The Rajputana Rifles,5,12,2,2020.0
dataset/train/115_augmented_1.jpg,115,4th Battalion (Outrams) The Rajputana Rifles,5,12,2,2020.0
dataset/train/115_augmented_2.jpg,115,4th Battalion (Outrams) The Rajputana Rifles,5,12,2,2020.0
dataset/train/116.jpg,116,Constitution of India,10,26,1,2020.0
dataset/train/116_augmented_1.jpg,116,Constitution of India,10,26,1,2020.0
dataset/train/116_augmented_2.jpg,116,Constitution of India,10,26,1,2020.0
dataset/train/117.jpg,117,Constitution of India,10,26,1,2020.0
dataset/train/117_augmented_1.jpg,117,Constitution of India,10,26,1,2020.0
dataset/train/117_augmented_2.jpg,117,Constitution of India,10,26,1,2020.0
dataset/train/118.jpg,118,100 Years of International Labour Organization,5,22,1,2020.0
dataset/train/118_augmented_1.jpg,118,100 Years of International Labour Organization,5,22,1,2020.0
dataset/train/118_augmented_2.jpg,118,100 Years of International Labour Organization,5,22,1,2020.0
dataset/train/119.jpg,119,Indica Emporia,5,14,1,2020.0
dataset/train/119_augmented_1.jpg,119,Indica Emporia,5,14,1,2020.0
dataset/train/119_augmented_2.jpg,119,Indica Emporia,5,14,1,2020.0
dataset/train/11_augmented_1.jpg,11,"GEMS AND JEWELLERY, INDEPEX ASIANA-2000: BRIDAL",3,7,12,2000.0
dataset/train/11_augmented_2.jpg,11,"GEMS AND JEWELLERY, INDEPEX ASIANA-2000: BRIDAL",3,7,12,2000.0
dataset/train/12.jpg,12,"GEMS AND JEWELLERY, INDEPEX ASIANA-2000: TEMPLE",3,7,12,2000.0
dataset/train/120.jpg,120,Timeless,5,14,1,2020.0
dataset/train/120_augmented_1.jpg,120,Timeless,5,14,1,2020.0
dataset/train/120_augmented_2.jpg,120,Timeless,5,14,1,2020.0
dataset/train/121.jpg,121,Mystical_Indian,5,14,1,2020.0
dataset/train/121_augmented_1.jpg,121,Mystical_Indian,5,14,1,2020.0
dataset/train/121_augmented_2.jpg,121,Mystical_Indian,5,14,1,2020.0
dataset/train/122.jpg,122,Embellishment,5,14,1,2020.0
dataset/train/122_augmented_1.jpg,122,Embellishment,5,14,1,2020.0
dataset/train/122_augmented_2.jpg,122,Embellishment,5,14,1,2020.0
dataset/train/123.jpg,123,7.Varanasi_Weaves,5,14,1,2020.0
dataset/train/123_augmented_1.jpg,123,7.Varanasi_Weaves,5,14,1,2020.0
dataset/train/123_augmented_2.jpg,123,7.Varanasi_Weaves,5,14,1,2020.0
dataset/train/124.jpg,124,The_Ambika_Jacket,5,14,1,2020.0
dataset/train/124_augmented_1.jpg,124,The_Ambika_Jacket,5,14,1,2020.0
dataset/train/124_augmented_2.jpg,124,The_Ambika_Jacket,5,14,1,2020.0
dataset/train/125.jpg,125,9.Classic_Jalabiya,5,14,1,2020.0
dataset/train/125_augmented_1.jpg,125,9.Classic_Jalabiya,5,14,1,2020.0
dataset/train/125_augmented_2.jpg,125,9.Classic_Jalabiya,5,14,1,2020.0
dataset/train/126.jpg,126,Indica Emporia,5,14,1,2020.0
dataset/train/126_augmented_1.jpg,126,Indica Emporia,5,14,1,2020.0
dataset/train/126_augmented_2.jpg,126,Indica Emporia,5,14,1,2020.0
dataset/train/127.jpg,127,Vastra,5,14,1,2020.0
dataset/train/127_augmented_1.jpg,127,Vastra,5,14,1,2020.0
dataset/train/127_augmented_2.jpg,127,Vastra,5,14,1,2020.0
dataset/train/128.jpg,128,Toda Embroidery,20,19,12,2019.0
dataset/train/128_augmented_1.jpg,128,Toda Embroidery,20,19,12,2019.0
dataset/train/128_augmented_2.jpg,128,Toda Embroidery,20,19,12,2019.0
dataset/train/129.jpg,129,Sujani,20,19,12,2019.0
dataset/train/129_augmented_1.jpg,129,Sujani,20,19,12,2019.0
dataset/train/129_augmented_2.jpg,129,Sujani,20,19,12,2019.0
dataset/train/12_augmented_1.jpg,12,"GEMS AND JEWELLERY, INDEPEX ASIANA-2000: TEMPLE",3,7,12,2000.0
dataset/train/12_augmented_2.jpg,12,"GEMS AND JEWELLERY, INDEPEX ASIANA-2000: TEMPLE",3,7,12,2000.0
dataset/train/13.jpg,13,MAHARAJA BIJLI PASI,3,16,11,2000.0
dataset/train/130.jpg,130,Shamilami,20,19,12,2019.0
dataset/train/130_augmented_1.jpg,130,Shamilami,20,19,12,2019.0
dataset/train/130_augmented_2.jpg,130,Shamilami,20,19,12,2019.0
dataset/train/131.jpg,131,Phulkari,10,19,12,2019.0
dataset/train/131_augmented_1.jpg,131,Phulkari,10,19,12,2019.0
dataset/train/131_augmented_2.jpg,131,Phulkari,10,19,12,2019.0
dataset/train/132.jpg,132,Kutch Embroidery,10,19,12,2019.0
dataset/train/132_augmented_1.jpg,132,Kutch Embroidery,10,19,12,2019.0
dataset/train/132_augmented_2.jpg,132,Kutch Embroidery,10,19,12,2019.0
dataset/train/133.jpg,133,kasuti,10,19,12,2019.0
dataset/train/133_augmented_1.jpg,133,kasuti,10,19,12,2019.0
dataset/train/133_augmented_2.jpg,133,kasuti,10,19,12,2019.0
dataset/train/134.jpg,134,Kashmiri Embroidery,15,19,12,2019.0
dataset/train/134_augmented_1.jpg,134,Kashmiri Embroidery,15,19,12,2019.0
dataset/train/134_augmented_2.jpg,134,Kashmiri Embroidery,15,19,12,2019.0
dataset/train/135.jpg,135,Kantha,15,19,12,2019.0
dataset/train/135_augmented_1.jpg,135,Kantha,15,19,12,2019.0
dataset/train/135_augmented_2.jpg,135,Kantha,15,19,12,2019.0
dataset/train/136.jpg,136,kamal Kadhai,15,19,12,2019.0
dataset/train/136_augmented_1.jpg,136,kamal Kadhai,15,19,12,2019.0
dataset/train/136_augmented_2.jpg,136,kamal Kadhai,15,19,12,2019.0
dataset/train/137.jpg,137,Chikankari,10,19,12,2019.0
dataset/train/137_augmented_1.jpg,137,Chikankari,10,19,12,2019.0
dataset/train/137_augmented_2.jpg,137,Chikankari,10,19,12,2019.0
dataset/train/138.jpg,138,Chamba Rumal,20,19,12,2019.0
dataset/train/138_augmented_1.jpg,138,Chamba Rumal,20,19,12,2019.0
dataset/train/138_augmented_2.jpg,138,Chamba Rumal,20,19,12,2019.0
dataset/train/139.jpg,139,Applique,20,19,12,2019.0
dataset/train/139_augmented_1.jpg,139,Applique,20,19,12,2019.0
dataset/train/139_augmented_2.jpg,139,Applique,20,19,12,2019.0
dataset/train/13_augmented_1.jpg,13,MAHARAJA BIJLI PASI,3,16,11,2000.0
dataset/train/13_augmented_2.jpg,13,MAHARAJA BIJLI PASI,3,16,11,2000.0
dataset/train/14.jpg,14,CHILDREN'S DAY,3,14,11,2000.0
dataset/train/140.jpg,140,Directorate of Revenue Intelligence,5,26,12,2019.0
dataset/train/140_augmented_1.jpg,140,Directorate of Revenue Intelligence,5,26,12,2019.0
dataset/train/140_augmented_2.jpg,140,Directorate of Revenue Intelligence,5,26,12,2019.0
dataset/train/141.jpg,141,The Force Multiplier,5,14,12,2019.0
dataset/train/141_augmented_1.jpg,141,The Force Multiplier,5,14,12,2019.0
dataset/train/141_augmented_2.jpg,141,The Force Multiplier,5,14,12,2019.0
dataset/train/142.jpg,142,Badrinath,15,29,11,2019.0
dataset/train/142_augmented_1.jpg,142,Badrinath,15,29,11,2019.0
dataset/train/142_augmented_2.jpg,142,Badrinath,15,29,11,2019.0
dataset/train/143.jpg,143,Kedarnath,15,29,11,2019.0
dataset/train/143_augmented_1.jpg,143,Kedarnath,15,29,11,2019.0
dataset/train/143_augmented_2.jpg,143,Kedarnath,15,29,11,2019.0
dataset/train/144.jpg,144,Gangotri,10,29,11,2019.0
dataset/train/144_augmented_1.jpg,144,Gangotri,10,29,11,2019.0
dataset/train/144_augmented_2.jpg,144,Gangotri,10,29,11,2019.0
dataset/train/145.jpg,145,Yamunotri,10,29,11,2019.0
